# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0247 -0.6103515625 0.00126884395861222451 0 0 0 0.000174896139433209621
0248 -0.5615234375 0.00127055183737498053 0 0 0 0.000175601636356521813
0249 -0.5126953125 0.00127211917056232397 0 0 0 0.000176250738793718397
0250 -0.4638671875 0.00127354550529585947 0 0 0 0.000176842832147785167
0251 -0.4150390625 0.00127483042494070612 0 0 0 0.000177377352882048255
0252 -0.3662109375 0.00127597355050841849 0 0 0 0.000177853789864836195
0253 -0.3173828125 0.00127697454192194737 0 0 0 0.000178271685594634668
0254 -0.2685546875 0.00127783309914206861 0 0 0 0.00017863063730113579
0255 -0.2197265625 0.00127854896315615684 0 0 0 0.000178930297918713539
0256 -0.1708984375 0.00127912191682810024 0 0 0 0.000179170376928319863
0257 -0.1220703125 0.00127955178561935264 0 0 0 0.000179350641069080682
0258 -0.0732421875 0.0012798384382452239 0 0 0 0.000179470914943933809
0259 -0.0244140625 0.00127998178918856467 0 0 0 0.000179531082324232147
0260 0.0244140625 0.00127998178918856467 0 0 0 0.000179531082324232147
0261 0.0732421875 0.0012798384382452239 0 0 0 0.000179470914943933809
0262 0.1220703125 0.00127955178561935264 0 0 0 0.000179350641069080682
0263 0.1708984375 0.00127912191682810024 0 0 0 0.000179170376928319863
0264 0.2197265625 0.00127854896315615684 0 0 0 0.000178930297918713539
0265 0.2685546875 0.00127783309914206861 0 0 0 0.00017863063730113579
0266 0.3173828125 0.00127697454192194737 0 0 0 0.000178271685594634668
0267 0.3662109375 0.00127597355050841849 0 0 0 0.000177853789864836195
0268 0.4150390625 0.00127483042494070612 0 0 0 0.000177377352882048255
0269 0.4638671875 0.00127354550529585947 0 0 0 0.000176842832147785167
0270 0.5126953125 0.00127211917056232397 0 0 0 0.000176250738793718397
0271 0.5615234375 0.00127055183737498053 0 0 0 0.000175601636356521813
0272 0.6103515625 0.00126884395861222451 0 0 0 0.000174896139433209621
0273 0.6591796875 0.00126699602185551506 0 0 0 0.000174134912221840055
0274 0.7080078125 0.00126500854771174074 0 0 0 0.000173318666952894845
0275 0.7568359375 0.00126288208799856471 0 0 0 0.000172448162216854573
0276 0.8056640625 0.00126061722379250309 0 0 0 0.000171524201193770323
0277 0.8544921875 0.00125821456334051693 0 0 0 0.000170547629791304155
0278 0.9033203125 0.00125567473983234017 0 0 0 0.000169519334696644966
0279 0.9521484375 0.00125299840903431961 0 0 0 0.000168440241349408808
0280 1.0009765625 0.00125018624678252576 0 0 0 0.000167311311841718149
0281 1.0498046875 0.00124723894633289867 0 0 0 0.000166133542751922348
0282 1.0986328125 0.0012441572155654577 0 0 0 0.000164907962918386166
0283 1.1474609375 0.00124094177403962706 0 0 0 0.000163635631160076732
0284 1.1962890625 0.00123759334989427235 0 0 0 0.000162317633949467206
0285 1.2451171875 0.00123411267658858062 0 0 0 0.000160955082942930552
0286 1.2939453125 0.00123050048947592489 0 0 0 0.0001595491122629982
0287 1.3427734375 0.00122675752220223477 0 0 0 0.000158100877612897198
0288 1.3916015625 0.00122288450291872168 0 0 0 0.000156611552080301934
0289 1.4404296875 0.00121888215029758548 0 0 0 0.000155082324269043519
0290 1.4892578125 0.00121475116933647239 0 0 0 0.000153514395807408842
0291 1.5380859375 0.00121049224693278983 0 0 0 0.000151908978844430989
0292 1.5869140625 0.00120610604721328707 0 0 0 0.000150267293539323046
0293 1.6357421875 0.00120159320659269471 0 0 0 0.0001485905656401929
0294 1.6845703125 0.00119695432853181099 0 0 0 0.000146880023696025478
0295 1.7333984375 0.00119218997797505746 0 0 0 0.000145136896696999667
0296 1.7822265625 0.0011873006754189203 0 0 0 0.000143362411649707798
0297 1.8310546875 0.0011822871815188919 0 0 0 0.000141550891869146324
0298 1.8798828125 0.00117715451287315077 0 0 0 0.000139696197449255268
0299 1.9287109375 0.00117190504916630405 0 0 0 0.000137816194199381317
0300 1.9775390625 0.00116653966073376899 0 0 0 0.000135912249199964398
0301 2.0263671875 0.00116105917184894793 0 0 0 0.000133985716325904638
0302 2.0751953125 0.00115546435492668562 0 0 0 0.000132037933976877415
0303 2.1240234375 0.00114975592437287742 0 0 0 0.000130070222840181454
0304 2.1728515625 0.00114393453007663503 0 0 0 0.000128083883710148759
0305 2.2216796875 0.00113800075044780406 0 0 0 0.000126080195409321874
0306 2.2705078125 0.0011319550849794842 0 0 0 0.000124060412914920519
0307 2.3193359375 0.00112579794623595287 0 0 0 0.000122025764205035663
0308 2.3681640625 0.0011195296511915425 0 0 0 0.000119977449436448459
0309 2.4169921875 0.00111315041184099624 0 0 0 0.000117916638435220733
0310 2.4658203125 0.00110666032493961382 0 0 0 0.000115844468709583906
0311 2.5146484375 0.00110005936076480845 0 0 0 0.00011376204352411255
0312 2.5634765625 0.00109334735074460691 0 0 0 0.000111670428904352497
0313 2.6123046875 0.00108652397376259751 0 0 0 0.000109570654411788725
0314 2.6611328125 0.00107958874732002881 0 0 0 0.000107463408919369839
0315 2.7099609375 0.00107254786370518038 0 0 0 0.000105324141122189004
0316 2.7587890625 0.00106540775394432623 0 0 0 0.000103184218961497635
0317 2.8076171875 0.00105816839876171479 0 0 0 0.000101044659879090162
0318 2.8564453125 0.00105082963077995461 0 0 0 9.89064381141519769e-05
0319 2.9052734375 0.00104339111367040367 0 0 0 9.67704813204625414e-05
0320 2.9541015625 0.0010358523264949735 0 0 0 9.46376684083202784e-05
0321 3.0029296875 0.00102821254614390975 0 0 0 9.25088295589254479e-05
0322 3.0517578125 0.00102047082751770659 0 0 0 9.03847447692382184e-05
0323 3.1005859375 0.0010126259810609578 0 0 0 8.82661400973096873e-05
0324 3.1494140625 0.0010046765471604679 0 0 0 8.61536880205599853e-05
0325 3.1982421875 0.000996620766816809847 0 0 0 8.40486298902409242e-05
0326 3.2470703125 0.000988456547866284427 0 0 0 8.19509730457766841e-05
0327 3.2958984375 0.000980184389560683454 0 0 0 7.98476113066553438e-05
0328 3.3447265625 0.000971817210499413401 0 0 0 7.77456183928244642e-05
0329 3.3935546875 0.000963355495106380639 0 0 0 7.5658374714030312e-05
0330 3.4423828125 0.000954797308480124433 0 0 0 7.35863337094639215e-05
0331 3.4912109375 0.000946140356287616968 0 0 0 7.15298888436707972e-05
0332 3.5400390625 0.000937381942785541628 0 0 0 6.94893714813225893e-05
0333 3.5888671875 0.000928518921688804301 0 0 0 6.7465048457738397e-05
0334 3.6376953125 0.00091954763828733699 0 0 0 6.54571197533320001e-05
0335 3.6865234375 0.000910463860839494659 0 0 0 6.34657137219421324e-05
0336 3.7353515625 0.000901262698768921528 0 0 0 6.1490882624252137e-05
0337 3.7841796875 0.000891944580165452555 0 0 0 5.95221822843685521e-05
0338 3.8330078125 0.000882525079514885884 0 0 0 5.7569995516388255e-05
0339 3.8818359375 0.000873001376667744398 0 0 0 5.56410450250257929e-05
0340 3.9306640625 0.000863368261087248709 0 0 0 5.37352280454421081e-05
0341 3.9794921875 0.000853619716003200537 0 0 0 5.185236572592897e-05
